office_id,member_id,managed_entity_id,water_date,water_usage,No_id
OFF001,user001,ME001,2023-06-01,342,1
OFF001,user002,ME001,2023-06-01,228,2
OFF001,user001,ME001,2023-06-02,240,3
OFF001,user002,ME001,2023-06-02,353,4
OFF001,user001,ME001,2023-06-03,107,5
OFF001,user002,ME001,2023-06-03,57,6
OFF001,user001,ME001,2023-06-04,203,7
OFF001,user002,ME001,2023-06-04,376,8
OFF001,user001,ME001,2023-06-05,391,9
OFF001,user002,ME001,2023-06-05,376,10
OFF001,user001,ME001,2023-06-06,265,11
OFF001,user002,ME001,2023-06-06,57,12
OFF001,user001,ME001,2023-06-07,231,13
OFF001,user002,ME001,2023-06-07,349,14
OFF001,user001,ME001,2023-06-08,49,15
OFF001,user002,ME001,2023-06-08,386,16
OFF001,user001,ME001,2023-06-09,7,17
OFF001,user002,ME001,2023-06-09,155,18
OFF001,user001,ME001,2023-06-10,427,19
OFF001,user002,ME001,2023-06-10,407,20
OFF001,user001,ME001,2023-06-11,287,21
OFF001,user002,ME001,2023-06-11,126,22
OFF001,user001,ME001,2023-06-12,375,23
OFF001,user002,ME001,2023-06-12,236,24
OFF001,user001,ME001,2023-06-13,75,25
OFF001,user002,ME001,2023-06-13,289,26
OFF001,user001,ME001,2023-06-14,78,27
OFF001,user002,ME001,2023-06-14,339,28
OFF001,user001,ME001,2023-06-15,257,29
OFF001,user002,ME001,2023-06-15,75,30
OFF001,user001,ME001,2023-06-16,96,31
OFF001,user002,ME001,2023-06-16,366,32
OFF001,user001,ME001,2023-06-17,208,33
OFF001,user002,ME001,2023-06-17,220,34
OFF001,user001,ME001,2023-06-18,149,35
OFF001,user002,ME001,2023-06-18,417,36
OFF001,user001,ME001,2023-06-19,161,37
OFF001,user002,ME001,2023-06-19,306,38
OFF001,user001,ME001,2023-06-20,387,39
OFF001,user002,ME001,2023-06-20,81,40
OFF001,user001,ME001,2023-06-21,208,41
OFF001,user002,ME001,2023-06-21,176,42
OFF001,user001,ME001,2023-06-22,259,43
OFF001,user002,ME001,2023-06-22,267,44
OFF001,user001,ME001,2023-06-23,276,45
OFF001,user002,ME001,2023-06-23,235,46
OFF001,user001,ME001,2023-06-24,132,47
OFF001,user002,ME001,2023-06-24,392,48
OFF001,user001,ME001,2023-06-25,437,49
OFF001,user002,ME001,2023-06-25,325,50
OFF001,user001,ME001,2023-06-26,32,51
OFF001,user002,ME001,2023-06-26,50,52
OFF001,user001,ME001,2023-06-27,383,53
OFF001,user002,ME001,2023-06-27,40,54
OFF001,user001,ME001,2023-06-28,79,55
OFF001,user002,ME001,2023-06-28,63,56
OFF001,user001,ME001,2023-06-29,109,57
OFF001,user002,ME001,2023-06-29,291,58
OFF001,user001,ME001,2023-06-30,407,59
OFF001,user002,ME001,2023-06-30,123,60
